"model","coverage_days","capacity_bytes","capacity_tb","replacement_cost_usd","p_fail_within_coverage","expected_loss_usd"
"TOSHIBA MG07ACA14TA",90,14000519643136,14.000519643136,350.0129910784,0.00389995834125723,1.3650360841046
"TOSHIBA MG08ACA16TE",90,16000900661248,16.000900661248,400.0225165312,0.0111086778835725,4.44372128232116
"WDC WUH721414ALE6L4",90,14000519643136,14.000519643136,350.0129910784,0.00146630840583484,0.513226990969652
"HGST HMS5C4040ALE640",180,4000787030016,4.000787030016,100.0196757504,0.00178544539177128,0.178579669155009
"HGST HMS5C4040BLE640",180,4000787030016,4.000787030016,100.0196757504,0.000702194309283977,0.0702332471283594
"HGST HUH721212ALE604",180,12000138625024,12.000138625024,300.0034656256,0.00345219428887655,1.03567025067587
"HGST HUH721212ALN604",180,12000138625024,12.000138625024,300.0034656256,0.00215588386857923,0.646772632060096
"ST12000NM0007",180,12000138625024,12.000138625024,300.0034656256,0.00933999495862525,2.80203085651321
"ST12000NM0008",180,12000138625024,12.000138625024,300.0034656256,0.00777026896752997,2.33110761910204
"ST12000NM001G",180,12000138625024,12.000138625024,300.0034656256,0.004432727882968,1.32983372706563
"ST14000NM001G",180,14000519643136,14.000519643136,350.0129910784,0.00945750707651116,3.31025033999481
"ST16000NM001G",180,16000900661248,16.000900661248,400.0225165312,0.00573236108720077,2.29307350776758
"ST4000DM000",180,4000787030016,4.000787030016,100.0196757504,0.00396507356836451,0.3965853726343
"ST8000DM002",180,8001563222016,8.001563222016,200.0390805504,0.00325805390985323,0.651738108510676
"ST8000NM0055",180,8001563222016,8.001563222016,200.0390805504,0.00424485276553055,0.849136444288554
"TOSHIBA MG07ACA14TA",180,14000519643136,14.000519643136,350.0129910784,0.00535207474394905,1.87329568960477
"TOSHIBA MG08ACA16TE",180,16000900661248,16.000900661248,400.0225165312,0.0152243057708612,6.09006510690037
"WDC WUH721414ALE6L4",180,14000519643136,14.000519643136,350.0129910784,0.00201319175590053,0.704643268097122
"HGST HMS5C4040ALE640",365,4000787030016,4.000787030016,100.0196757504,0.00274001766642074,0.27405567854577
"HGST HMS5C4040BLE640",365,4000787030016,4.000787030016,100.0196757504,0.00107792891255265,0.107814100315497
"HGST HUH721212ALE604",365,12000138625024,12.000138625024,300.0034656256,0.00529551203292877,1.5886719621407
"HGST HUH721212ALN604",365,12000138625024,12.000138625024,300.0034656256,0.00330817929872096,0.992465254527155
"ST12000NM0007",365,12000138625024,12.000138625024,300.0034656256,0.0143044888892742,4.29139624078514
"ST12000NM0008",365,12000138625024,12.000138625024,300.0034656256,0.0119054317669959,3.57167078986787
"ST12000NM001G",365,12000138625024,12.000138625024,300.0034656256,0.00679781824801762,2.03936903309823
"ST14000NM001G",365,14000519643136,14.000519643136,350.0129910784,0.0144840041925944,5.06958963024206
"ST16000NM001G",365,16000900661248,16.000900661248,400.0225165312,0.00878780643646981,3.51532044550573
"ST4000DM000",365,4000787030016,4.000787030016,100.0196757504,0.00608140919275357,0.608260575564714
"ST8000DM002",365,8001563222016,8.001563222016,200.0390805504,0.00499796958908083,0.99978924121859
"ST8000NM0055",365,8001563222016,8.001563222016,200.0390805504,0.00651003022104513,1.30226045977318
"TOSHIBA MG07ACA14TA",365,14000519643136,14.000519643136,350.0129910784,0.00820565900333692,2.87208725152736
"TOSHIBA MG08ACA16TE",365,16000900661248,16.000900661248,400.0225165312,0.0232795311083426,9.31233661762555
"WDC WUH721414ALE6L4",365,14000519643136,14.000519643136,350.0129910784,0.00308933801633449,1.08130843954944
"HGST HMS5C4040ALE640",545,4000787030016,4.000787030016,100.0196757504,0.00386393138718899,0.386469164468436
"HGST HMS5C4040BLE640",545,4000787030016,4.000787030016,100.0196757504,0.00152059886998523,0.152089805922348
"HGST HUH721212ALE604",545,12000138625024,12.000138625024,300.0034656256,0.00746372092334247,2.23914214346504
"HGST HUH721212ALN604",545,12000138625024,12.000138625024,300.0034656256,0.00466459869264146,1.39939577354508
"ST12000NM0007",545,12000138625024,12.000138625024,300.0034656256,0.0201238486583452,6.03722433922863
